mean_score,total_steps,std_score,max_score,min_score
36.0,1728,0.0,36.0,36.0
32.0,1792,0.0,32.0,32.0
32.0,2832,0.0,32.0,32.0
40.0,3664,0.0,40.0,40.0
40.0,6224,0.0,40.0,40.0
48.0,8544,0.0,48.0,48.0
40.0,8736,0.0,40.0,40.0
24.0,9520,0.0,24.0,24.0
28.0,10288,0.0,28.0,28.0
48.0,11632,0.0,48.0,48.0
48.0,11664,0.0,48.0,48.0
60.0,11936,0.0,60.0,60.0
32.0,15664,0.0,32.0,32.0
28.0,17568,0.0,28.0,28.0
36.0,19856,0.0,36.0,36.0
48.0,21456,0.0,48.0,48.0
32.0,21664,0.0,32.0,32.0
32.0,23504,0.0,32.0,32.0
48.0,24016,0.0,48.0,48.0
32.0,24944,0.0,32.0,32.0
28.0,26592,0.0,28.0,28.0
28.0,26880,0.0,28.0,28.0
48.0,28720,0.0,48.0,48.0
48.0,29216,0.0,48.0,48.0
28.0,29776,0.0,28.0,28.0
28.0,29952,0.0,28.0,28.0
32.0,31024,0.0,32.0,32.0
48.0,36000,0.0,48.0,48.0
32.0,37664,0.0,32.0,32.0
52.0,39600,0.0,52.0,52.0
36.0,41072,0.0,36.0,36.0
60.0,43840,0.0,60.0,60.0
36.0,47008,0.0,36.0,36.0
36.0,49152,0.0,36.0,36.0
44.0,49216,0.0,44.0,44.0
28.0,49664,0.0,28.0,28.0
32.0,49792,0.0,32.0,32.0
44.0,51568,0.0,44.0,44.0
32.0,51888,0.0,32.0,32.0
56.0,53488,0.0,56.0,56.0
52.0,54560,0.0,52.0,52.0
56.0,56752,0.0,56.0,56.0
44.0,57856,0.0,44.0,44.0
28.0,58416,0.0,28.0,28.0
36.0,58976,0.0,36.0,36.0
40.0,61168,0.0,40.0,40.0
28.0,63056,0.0,28.0,28.0
24.0,64080,0.0,24.0,24.0
28.0,64608,0.0,28.0,28.0
56.0,64720,0.0,56.0,56.0
36.0,66464,0.0,36.0,36.0
32.0,68784,0.0,32.0,32.0
48.0,69600,0.0,48.0,48.0
40.0,69728,0.0,40.0,40.0
32.0,70064,0.0,32.0,32.0
32.0,71696,0.0,32.0,32.0
32.0,72352,0.0,32.0,32.0
52.0,72816,0.0,52.0,52.0
32.0,76272,0.0,32.0,32.0
48.0,78496,0.0,48.0,48.0
40.0,82032,0.0,40.0,40.0
28.0,82464,0.0,28.0,28.0
40.0,83808,0.0,40.0,40.0
36.0,83968,0.0,36.0,36.0
32.0,84832,0.0,32.0,32.0
48.0,85024,0.0,48.0,48.0
28.0,86768,0.0,28.0,28.0
32.0,87200,0.0,32.0,32.0
56.0,90016,0.0,56.0,56.0
48.0,91952,0.0,48.0,48.0
48.0,92624,0.0,48.0,48.0
40.0,92672,0.0,40.0,40.0
56.0,92896,0.0,56.0,56.0
40.0,93856,0.0,40.0,40.0
44.0,93920,0.0,44.0,44.0
28.0,94416,0.0,28.0,28.0
28.0,94560,0.0,28.0,28.0
24.0,95712,0.0,24.0,24.0
48.0,96288,0.0,48.0,48.0
32.0,96432,0.0,32.0,32.0
28.0,101648,0.0,28.0,28.0
48.0,103680,0.0,48.0,48.0
40.0,105504,0.0,40.0,40.0
28.0,109504,0.0,28.0,28.0
36.0,112256,0.0,36.0,36.0
44.0,114944,0.0,44.0,44.0
28.0,115040,0.0,28.0,28.0
36.0,117360,0.0,36.0,36.0
36.0,119680,0.0,36.0,36.0
32.0,122336,0.0,32.0,32.0
44.0,122928,0.0,44.0,44.0
48.0,122944,0.0,48.0,48.0
36.0,123008,0.0,36.0,36.0
40.0,125264,0.0,40.0,40.0
28.0,132080,0.0,28.0,28.0
52.0,137648,0.0,52.0,52.0
40.0,137712,0.0,40.0,40.0
76.0,139744,0.0,76.0,76.0
32.0,142592,0.0,32.0,32.0
52.0,144624,0.0,52.0,52.0
28.0,145536,0.0,28.0,28.0
32.0,145776,0.0,32.0,32.0
52.0,150080,0.0,52.0,52.0
60.0,151168,0.0,60.0,60.0
28.0,152416,0.0,28.0,28.0
44.0,154512,0.0,44.0,44.0
28.0,156992,0.0,28.0,28.0
48.0,161056,0.0,48.0,48.0
28.0,162256,0.0,28.0,28.0
44.0,162576,0.0,44.0,44.0
48.0,166016,0.0,48.0,48.0
44.0,166160,0.0,44.0,44.0
48.0,169408,0.0,48.0,48.0
40.0,173296,0.0,40.0,40.0
36.0,173952,0.0,36.0,36.0
32.0,174944,0.0,32.0,32.0
32.0,180176,0.0,32.0,32.0
28.0,180336,0.0,28.0,28.0
76.0,180704,0.0,76.0,76.0
48.0,185504,0.0,48.0,48.0
36.0,186032,0.0,36.0,36.0
40.0,187552,0.0,40.0,40.0
28.0,187968,0.0,28.0,28.0
44.0,189712,0.0,44.0,44.0
36.0,192992,0.0,36.0,36.0
28.0,193104,0.0,28.0,28.0
24.0,196336,0.0,24.0,24.0
48.0,196352,0.0,48.0,48.0
36.0,198864,0.0,36.0,36.0
