Wall time,Step,Value
1734418285.5329926,1728,36.0
1734418285.570657,1792,32.0
1734418286.1458755,2832,32.0
1734418286.7259495,3664,40.0
1734418290.290389,6224,40.0
1734418293.708976,8544,48.0
1734418293.8297536,8736,40.0
1734418295.8207648,9520,24.0
1734418296.4305387,10288,28.0
1734418297.3804271,11632,48.0
1734418297.4021564,11664,48.0
1734418297.6087427,11936,60.0
1734418300.2587442,15664,32.0
1734418303.2095323,17568,28.0
1734418307.5899222,19856,36.0
1734418308.7537975,21456,48.0
1734418308.9032426,21664,32.0
1734418310.2041855,23504,32.0
1734418310.538367,24016,48.0
1734418312.8552296,24944,32.0
1734418313.986483,26592,28.0
1734418314.1844146,26880,28.0
1734418315.4615643,28720,48.0
1734418315.786095,29216,48.0
1734418316.1586576,29776,28.0
1734418316.2740471,29952,28.0
1734418317.0182772,31024,32.0
1734418324.0502515,36000,48.0
1734418325.219185,37664,32.0
1734418326.633962,39600,52.0
1734418329.345413,41072,36.0
1734418331.368122,43840,60.0
1734418333.5545757,47008,36.0
1734418335.0708082,49152,36.0
1734418336.7982078,49216,44.0
1734418337.1017177,49664,28.0
1734418337.1985412,49792,32.0
1734418340.4536343,51568,44.0
1734418340.667555,51888,32.0
1734418341.8053257,53488,56.0
1734418342.5339296,54560,52.0
1734418344.06197,56752,56.0
1734418346.5584989,57856,44.0
1734418346.9583266,58416,28.0
1734418347.349487,58976,36.0
1734418348.8309283,61168,40.0
1734418350.211296,63056,28.0
1734418350.9283595,64080,24.0
1734418351.3014874,64608,28.0
1734418351.378592,64720,56.0
1734418354.312028,66464,36.0
1734418355.9193857,68784,32.0
1734418356.3906171,69600,48.0
1734418356.4631195,69728,40.0
1734418356.6913328,70064,32.0
1734418357.824505,71696,32.0
1734418358.3463242,72352,32.0
1734418358.727417,72816,52.0
1734418364.641543,76272,32.0
1734418366.2563806,78496,48.0
1734418370.4487584,82032,40.0
1734418370.7295334,82464,28.0
1734418371.7016315,83808,40.0
1734418371.8168473,83968,36.0
1734418372.4533112,84832,32.0
1734418372.5782528,85024,48.0
1734418373.9117515,86768,28.0
1734418374.1952124,87200,32.0
1734418376.3787506,90016,56.0
1734418379.5908036,91952,48.0
1734418380.1059902,92624,48.0
1734418380.130963,92672,40.0
1734418380.2954473,92896,56.0
1734418380.9677455,93856,40.0
1734418381.0061963,93920,44.0
1734418381.3456476,94416,28.0
1734418381.4417994,94560,28.0
1734418382.2515574,95712,24.0
1734418382.6762755,96288,48.0
1734418382.791722,96432,32.0
1734418388.1309242,101648,28.0
1734418389.6203141,103680,48.0
1734418390.988821,105504,40.0
1734418397.2364023,109504,28.0
1734418399.4307923,112256,36.0
1734418402.991948,114944,44.0
1734418403.060705,115040,28.0
1734418404.8898094,117360,36.0
1734418406.558761,119680,36.0
1734418408.7898793,122336,32.0
1734418410.9493494,122928,44.0
1734418410.9645689,122944,48.0
1734418411.0170503,123008,36.0
1734418412.6780534,125264,40.0
1734418419.4377153,132080,28.0
1734418423.2954862,137648,52.0
1734418423.3316667,137712,40.0
1734418426.3791435,139744,76.0
1734418428.3066158,142592,32.0
1734418429.6728394,144624,52.0
1734418430.328887,145536,28.0
1734418430.4986324,145776,32.0
1734418435.213435,150080,52.0
1734418437.8250747,151168,60.0
1734418438.7424865,152416,28.0
1734418440.240587,154512,44.0
1734418443.6760955,156992,28.0
1734418446.5432155,161056,48.0
1734418447.3996055,162256,28.0
1734418447.5976596,162576,44.0
1734418451.6693542,166016,48.0
1734418451.768093,166160,44.0
1734418453.9820435,169408,48.0
1734418458.3375385,173296,40.0
1734418458.794601,173952,36.0
1734418459.5029893,174944,32.0
1734418463.1974604,180176,32.0
1734418465.087293,180336,28.0
1734418465.3460476,180704,76.0
1734418468.7681887,185504,48.0
1734418469.1689188,186032,36.0
1734418470.2688513,187552,40.0
1734418470.6017802,187968,28.0
1734418473.529109,189712,44.0
1734418475.6758358,192992,36.0
1734418475.7332168,193104,28.0
1734418477.723687,196336,24.0
1734418477.7329748,196352,48.0
1734418481.3340247,198864,36.0
1734418481.9650593,200032,44.0
1734418484.4607255,204624,52.0
1734418488.3416653,208560,32.0
1734418488.737994,209280,28.0
1734418489.067147,209872,52.0
1734418490.9515176,212560,28.0
