Wall time,Step,Value
1734418285.5329926,1728,-11.584892272949219
1734418285.570614,1792,-16.20992088317871
1734418286.1458755,2832,-12.870749473571777
1734418286.7259495,3664,-9.7184476852417
1734418290.290389,6224,-13.673032760620117
1734418293.708976,8544,-11.43127727508545
1734418293.8297536,8736,-14.131139755249023
1734418295.8207648,9520,-12.32910442352295
1734418296.4305387,10288,-15.647214889526367
1734418297.3804271,11632,-14.797855377197266
1734418297.4021564,11664,-13.407909393310547
1734418297.6087427,11936,-6.556366920471191
1734418300.2577448,15664,-12.78640079498291
1734418303.2095323,17568,-9.699323654174805
1734418307.5899222,19856,-8.484846115112305
1734418308.7537975,21456,-11.913717269897461
1734418308.9032426,21664,-13.942991256713867
1734418310.2041855,23504,-1.55928373336792
1734418310.5373638,24016,-12.95121955871582
1734418312.8552296,24944,-10.622045516967773
1734418313.986483,26592,-13.164490699768066
1734418314.1844146,26880,-8.055224418640137
1734418315.4615643,28720,-4.9630608558654785
1734418315.786095,29216,-7.561653137207031
1734418316.1586576,29776,-14.707743644714355
1734418316.2730465,29952,-12.942487716674805
1734418317.0182772,31024,-8.514537811279297
1734418324.0502515,36000,1.2295007705688477
1734418325.219185,37664,-11.881057739257812
1734418326.633962,39600,-6.25698709487915
1734418329.345413,41072,-5.504659652709961
1734418331.368122,43840,-3.2468008995056152
1734418333.5545757,47008,-9.047369003295898
1734418335.0708082,49152,-12.568489074707031
1734418336.7982078,49216,-8.980420112609863
1734418337.1017177,49664,-16.261661529541016
1734418337.1985412,49792,-11.073319435119629
1734418340.4536343,51568,-13.447429656982422
1734418340.667555,51888,-7.881871223449707
1734418341.8048217,53488,-7.8619608879089355
1734418342.5339296,54560,-5.104824066162109
1734418344.06197,56752,-0.5183353424072266
1734418346.5584989,57856,-11.343772888183594
1734418346.9583266,58416,-10.034929275512695
1734418347.349487,58976,-9.98832893371582
1734418348.8309283,61168,-6.063484191894531
1734418350.211296,63056,-10.171235084533691
1734418350.9283595,64080,-13.563018798828125
1734418351.3014874,64608,-7.781133651733398
1734418351.378592,64720,-8.73037338256836
1734418354.312028,66464,-13.972471237182617
1734418355.9193857,68784,-7.080842971801758
1734418356.3906171,69600,-12.47962760925293
1734418356.4631195,69728,-10.434505462646484
1734418356.6913328,70064,-10.565380096435547
1734418357.824505,71696,-9.3094482421875
1734418358.3463242,72352,-12.100194931030273
1734418358.727417,72816,-3.343463897705078
1734418364.641543,76272,-9.722004890441895
1734418366.2563806,78496,-12.339580535888672
1734418370.4487584,82032,-3.7493276596069336
1734418370.7295334,82464,-10.432612419128418
1734418371.7016315,83808,-11.467544555664062
1734418371.8168473,83968,-13.618913650512695
1734418372.4533112,84832,-10.969276428222656
1734418372.5782528,85024,-3.1202592849731445
1734418373.9117515,86768,-9.832450866699219
1734418374.1952124,87200,-12.769861221313477
1734418376.3787506,90016,-1.5726947784423828
1734418379.5908036,91952,0.9199380874633789
1734418380.1059902,92624,-11.017333984375
1734418380.1307232,92672,-8.475929260253906
1734418380.2954473,92896,0.19133329391479492
1734418380.9677455,93856,-3.522726058959961
1734418381.0061963,93920,-6.315850734710693
1734418381.3456476,94416,-10.269109725952148
1734418381.4417994,94560,-15.331880569458008
1734418382.2515574,95712,-11.322214126586914
1734418382.6762755,96288,-7.86261510848999
1734418382.791722,96432,-16.32015037536621
1734418388.1309242,101648,-14.074745178222656
1734418389.6203141,103680,-2.5150275230407715
1734418390.988821,105504,-3.811591863632202
1734418397.2364023,109504,-11.055488586425781
1734418399.4307923,112256,-10.07942008972168
1734418402.991948,114944,-7.326169490814209
1734418403.060705,115040,-7.047188758850098
1734418404.8898094,117360,-3.069660186767578
1734418406.558761,119680,-8.599661827087402
1734418408.7898793,122336,-6.934108734130859
1734418410.9493494,122928,-3.7174994945526123
1734418410.9645689,122944,-2.532938003540039
1734418411.0170503,123008,-11.5980863571167
1734418412.6780534,125264,-8.165704727172852
1734418419.4377153,132080,-10.692622184753418
1734418423.2954862,137648,-6.691171169281006
1734418423.3316667,137712,-5.80742073059082
1734418426.3791435,139744,2.1200647354125977
1734418428.3066158,142592,-9.992774963378906
1734418429.671756,144624,-7.608465671539307
1734418430.328887,145536,-9.765703201293945
1734418430.4986324,145776,-6.811563491821289
1734418435.213435,150080,-8.878897666931152
1734418437.8250747,151168,-4.508170127868652
1734418438.7424865,152416,-9.13687515258789
1734418440.240587,154512,-6.830721378326416
1734418443.6760955,156992,-11.302763938903809
1734418446.5432155,161056,-2.993101119995117
1734418447.3996055,162256,-8.847938537597656
1734418447.5976596,162576,-3.6797757148742676
1734418451.6693542,166016,-2.4808974266052246
1734418451.768093,166160,-6.192217826843262
1734418453.9820435,169408,-0.9643926620483398
1734418458.3375385,173296,-9.917338371276855
1734418458.794601,173952,-7.412529468536377
1734418459.5029893,174944,-9.157293319702148
1734418463.1974604,180176,-9.1974458694458
1734418465.087293,180336,-8.512903213500977
1734418465.3460476,180704,3.1870293617248535
1734418468.7681887,185504,0.8056864738464355
1734418469.1689188,186032,-13.202278137207031
1734418470.2688513,187552,-10.118000030517578
1734418470.6017802,187968,-5.074213981628418
1734418473.5290806,189712,-6.435134410858154
1734418475.6758358,192992,-9.36540412902832
1734418475.7332168,193104,-11.082401275634766
1734418477.723687,196336,-7.996953010559082
1734418477.7329748,196352,-7.826504707336426
1734418481.3340247,198864,-6.271864891052246
1734418481.9650593,200032,-4.932592391967773
1734418484.4607255,204624,-0.8644070625305176
1734418488.3416653,208560,-8.90971565246582
1734418488.737994,209280,-4.843387126922607
1734418489.067147,209872,-8.1297025680542
